               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078822,            0.035276,            0.017736,             0.50441,             0.10088,           0.0019768,          0.00034581,            0.097678,            0.022337,            0.017094,             0.00096,             0.00096,             0.09136
                   1,            0.061173,            0.035054,            0.016323,             0.51379,            0.062865,           0.0039833,          0.00071899,             0.10256,            0.028361,            0.019133,           0.0019299,           0.0019299,             0.08263
                   2,            0.051896,            0.030822,            0.013732,             0.50498,            0.013158,          0.00092317,          0.00016348,            0.092281,            0.029641,             0.01828,           0.0028994,           0.0028994,            0.073899
                   3,            0.049206,            0.030391,            0.011386,             0.79621,             0.12135,             0.12347,            0.019025,            0.082049,            0.040236,            0.029779,           0.0038681,           0.0038681,            0.065168
                   4,            0.046748,            0.028811,           0.0087041,             0.71629,             0.13304,             0.13581,            0.024169,            0.087846,            0.022729,            0.010575,           0.0048357,           0.0048357,            0.056436
                   5,            0.046964,            0.028104,           0.0066881,             0.31394,             0.27265,             0.21502,            0.064591,            0.058493,            0.037121,            0.014535,           0.0058019,           0.0058019,            0.047702
                   6,            0.045181,            0.027772,           0.0059801,             0.82649,             0.18981,             0.26718,             0.08892,            0.049899,            0.099548,             0.01744,           0.0067665,           0.0067665,            0.038966
                   7,             0.04429,            0.027229,           0.0059518,             0.17891,             0.51857,             0.27722,              0.1162,            0.048424,            0.043768,           0.0051763,           0.0077289,           0.0077289,            0.030229
                   8,            0.041666,            0.025995,           0.0050347,             0.52494,             0.49023,             0.43958,             0.18013,            0.043437,            0.027324,            0.007006,           0.0086891,           0.0086891,            0.021489
                   9,            0.040752,            0.026296,           0.0043291,             0.44035,             0.54968,             0.46137,             0.17921,            0.042838,             0.03131,           0.0055206,           0.0096465,           0.0096465,            0.012746
                  10,            0.041549,            0.026388,           0.0042073,             0.37093,             0.49437,             0.41891,             0.17273,            0.042729,            0.033504,           0.0033652,           0.0099446,           0.0099446,           0.0099446
                  11,            0.040124,            0.026609,           0.0045408,             0.52918,             0.54819,             0.57565,             0.24194,            0.041751,            0.027227,           0.0037336,           0.0099446,           0.0099446,           0.0099446
                  12,             0.04004,            0.025354,           0.0043473,             0.34835,             0.66639,             0.44495,             0.16737,            0.039896,            0.024456,           0.0028874,            0.009933,            0.009933,            0.009933
                  13,            0.038465,            0.025077,           0.0043571,             0.44511,             0.62853,             0.54528,             0.23126,            0.040104,            0.022436,           0.0021911,           0.0099203,           0.0099203,           0.0099203
                  14,            0.037571,            0.024842,           0.0037077,             0.48715,             0.42923,             0.42144,              0.1423,             0.04754,            0.022127,           0.0040588,           0.0099065,           0.0099065,           0.0099065
                  15,            0.037347,            0.024802,           0.0036211,             0.50845,             0.58325,             0.56569,             0.23841,            0.037631,            0.021532,           0.0016989,           0.0098916,           0.0098916,           0.0098916
                  16,            0.037247,            0.025089,           0.0037784,             0.39207,             0.56137,             0.48709,             0.23064,            0.043226,            0.027264,           0.0047242,           0.0098757,           0.0098757,           0.0098757
                  17,            0.036161,            0.024546,           0.0036799,             0.57055,             0.54902,             0.55964,             0.25817,            0.036716,            0.021016,           0.0024149,           0.0098586,           0.0098586,           0.0098586
                  18,            0.036043,            0.024082,            0.003667,             0.83935,             0.50152,             0.64581,             0.26431,            0.036327,            0.022946,           0.0034166,           0.0098405,           0.0098405,           0.0098405
                  19,            0.037498,            0.024902,           0.0035882,             0.24927,             0.47807,             0.32593,             0.16034,            0.040258,            0.032732,           0.0041221,           0.0098213,           0.0098213,           0.0098213
                  20,            0.035497,            0.024035,           0.0028727,             0.60431,             0.46774,             0.42759,              0.1785,            0.039565,            0.024168,           0.0024426,           0.0098011,           0.0098011,           0.0098011
                  21,            0.036011,            0.024061,           0.0032043,             0.64266,             0.64794,               0.655,             0.28246,            0.034742,            0.022637,           0.0019224,           0.0097798,           0.0097798,           0.0097798
                  22,            0.035856,            0.023887,           0.0032929,             0.58949,             0.68549,             0.69144,             0.31383,            0.035383,            0.022437,           0.0022609,           0.0097574,           0.0097574,           0.0097574
                  23,            0.035378,            0.024017,           0.0028213,             0.69923,              0.5982,              0.6279,             0.25061,            0.039369,            0.025196,           0.0043445,            0.009734,            0.009734,            0.009734
                  24,            0.034549,            0.024325,           0.0033778,             0.68807,             0.61789,             0.65669,              0.2805,            0.035329,               0.022,           0.0014461,           0.0097095,           0.0097095,           0.0097095
                  25,             0.03455,            0.023267,           0.0030235,             0.68989,             0.62834,             0.72152,             0.35167,            0.032448,            0.021208,           0.0027012,            0.009684,            0.009684,            0.009684
                  26,            0.034914,            0.023364,           0.0028147,             0.63223,             0.74792,             0.69787,             0.33203,            0.031115,            0.021337,           0.0020928,           0.0096575,           0.0096575,           0.0096575
                  27,            0.034604,            0.023616,            0.003133,             0.78693,              0.5941,             0.69958,              0.3089,            0.034481,             0.02451,           0.0020214,           0.0096299,           0.0096299,           0.0096299
                  28,            0.034594,            0.023659,           0.0033761,             0.80182,             0.56632,             0.68567,             0.30297,            0.034112,             0.02217,           0.0042636,           0.0096013,           0.0096013,           0.0096013
                  29,            0.034188,            0.023624,            0.002804,             0.70073,              0.6261,             0.68482,             0.31278,             0.03325,            0.021374,           0.0021341,           0.0095717,           0.0095717,           0.0095717
                  30,            0.034506,            0.023271,           0.0028405,             0.20124,             0.57522,             0.18449,            0.081511,             0.03633,            0.030055,           0.0024027,           0.0095411,           0.0095411,           0.0095411
                  31,            0.033942,            0.023415,           0.0030647,             0.67561,             0.60033,             0.67088,             0.30805,            0.032618,            0.021285,           0.0017381,           0.0095095,           0.0095095,           0.0095095
                  32,            0.033413,            0.023158,           0.0031421,             0.64231,             0.57574,             0.58548,             0.28578,            0.038831,            0.023691,           0.0013292,           0.0094769,           0.0094769,           0.0094769
                  33,            0.034076,            0.022874,           0.0027336,             0.65751,             0.64819,             0.69329,             0.33785,            0.031431,            0.021224,           0.0054239,           0.0094434,           0.0094434,           0.0094434
                  34,            0.034428,            0.022961,           0.0029995,             0.59174,             0.67678,             0.67777,             0.31825,            0.033563,            0.021093,           0.0017725,           0.0094088,           0.0094088,           0.0094088
                  35,            0.034455,            0.023586,           0.0026004,             0.64537,             0.66922,             0.67052,             0.28531,            0.037652,            0.022207,           0.0021741,           0.0093733,           0.0093733,           0.0093733
                  36,            0.033862,            0.023267,           0.0029292,             0.64167,             0.64379,              0.6505,              0.3322,            0.031932,             0.02056,           0.0036605,           0.0093369,           0.0093369,           0.0093369
                  37,            0.032832,            0.022965,           0.0027186,             0.75156,             0.73277,             0.79095,             0.34654,            0.031666,            0.019403,          0.00081317,           0.0092995,           0.0092995,           0.0092995
                  38,            0.032685,            0.022373,           0.0026824,             0.79924,             0.62921,              0.7481,             0.39388,            0.030642,            0.020164,           0.0016808,           0.0092611,           0.0092611,           0.0092611
                  39,            0.033001,             0.02294,           0.0033039,             0.59709,              0.6808,             0.63939,             0.34557,            0.031429,            0.021252,           0.0017942,           0.0092219,           0.0092219,           0.0092219
                  40,            0.032411,            0.022361,           0.0025993,             0.73853,             0.59767,             0.67095,             0.36168,            0.030867,            0.021731,           0.0030438,           0.0091817,           0.0091817,           0.0091817
                  41,            0.031797,            0.021899,           0.0023085,             0.74674,              0.6736,             0.75208,              0.3853,            0.028238,            0.019545,           0.0015568,           0.0091406,           0.0091406,           0.0091406
                  42,            0.031396,            0.022061,           0.0020583,             0.79855,             0.71575,              0.8012,             0.43221,            0.030112,            0.021795,           0.0014776,           0.0090986,           0.0090986,           0.0090986
                  43,            0.031443,            0.021826,           0.0023705,             0.70831,             0.69818,               0.732,             0.37896,            0.032871,            0.018888,           0.0026092,           0.0090557,           0.0090557,           0.0090557
                  44,             0.03241,            0.022669,           0.0025473,             0.67711,             0.62811,             0.66363,              0.3373,            0.029838,            0.019634,           0.0011379,           0.0090119,           0.0090119,           0.0090119
                  45,             0.03186,            0.021922,           0.0028617,             0.77017,             0.68773,             0.78509,             0.41931,            0.029396,            0.021137,           0.0017105,           0.0089673,           0.0089673,           0.0089673
