               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082876,             0.15024,            0.023288,           0.0041944,            0.035088,          0.00096509,          0.00011626,            0.077545,            0.012864,            0.018861,             0.00096,             0.00096,             0.09136
                   1,            0.056828,            0.015826,            0.017561,           0.0075138,             0.25292,           0.0057364,           0.0014891,            0.049383,            0.010585,             0.01612,           0.0019299,           0.0019299,             0.08263
                   2,             0.04385,            0.012344,            0.016417,             0.12915,             0.17544,             0.11169,            0.038201,            0.044616,           0.0089782,            0.014541,           0.0028994,           0.0028994,            0.073899
                   3,            0.038576,            0.011416,            0.014077,             0.18369,             0.19883,             0.14429,             0.04744,            0.039299,           0.0084223,            0.012462,           0.0038681,           0.0038681,            0.065168
                   4,            0.037004,             0.01058,           0.0083617,             0.20392,             0.40478,             0.22048,            0.090017,             0.03457,           0.0079056,           0.0044169,           0.0048357,           0.0048357,            0.056436
                   5,            0.039428,            0.010002,           0.0050042,             0.24277,              0.3585,             0.22514,            0.077879,            0.033841,           0.0080016,           0.0037124,           0.0058019,           0.0058019,            0.047702
                   6,            0.036428,           0.0098273,           0.0038712,             0.48685,             0.59177,             0.52086,             0.20464,            0.029958,           0.0077483,           0.0024347,           0.0067665,           0.0067665,            0.038966
                   7,            0.034447,           0.0095832,           0.0033017,             0.52494,             0.56486,             0.50654,              0.2223,            0.038214,           0.0074283,           0.0040482,           0.0077289,           0.0077289,            0.030229
                   8,            0.032825,           0.0093808,           0.0032675,              0.5431,             0.43337,             0.45747,             0.17928,            0.030777,           0.0076997,           0.0038374,           0.0086891,           0.0086891,            0.021489
                   9,            0.031631,           0.0092526,           0.0029104,              0.4922,             0.42258,             0.41774,             0.14967,            0.032671,           0.0082134,           0.0028693,           0.0096465,           0.0096465,            0.012746
                  10,             0.03014,           0.0091186,           0.0029637,             0.39312,             0.43191,             0.35084,             0.13829,            0.037005,           0.0074165,           0.0029626,           0.0099446,           0.0099446,           0.0099446
                  11,            0.028425,           0.0089091,           0.0022721,              0.6416,             0.54398,              0.6116,              0.3002,            0.027507,           0.0068639,           0.0015611,           0.0099446,           0.0099446,           0.0099446
                  12,            0.027719,           0.0087163,           0.0025862,             0.66849,             0.47529,             0.52869,               0.207,            0.034103,           0.0070557,             0.01662,            0.009933,            0.009933,            0.009933
                  13,            0.026884,           0.0086263,           0.0021266,               0.613,             0.56692,             0.59683,             0.28722,            0.024383,           0.0064881,           0.0047908,           0.0099203,           0.0099203,           0.0099203
                  14,            0.025922,           0.0083244,            0.001666,              0.6891,             0.66312,             0.73483,             0.36629,            0.024282,           0.0059945,           0.0013847,           0.0099065,           0.0099065,           0.0099065
                  15,            0.024606,           0.0082418,           0.0018759,             0.78154,             0.64315,             0.77562,              0.3921,            0.024457,           0.0062839,           0.0034275,           0.0098916,           0.0098916,           0.0098916
                  16,            0.023659,           0.0077605,           0.0015743,             0.78121,             0.74841,             0.81584,             0.44472,            0.022308,           0.0058636,          0.00075779,           0.0098757,           0.0098757,           0.0098757
                  17,            0.023332,           0.0079242,           0.0017701,             0.76341,             0.74985,             0.82135,             0.40907,             0.02333,           0.0061601,           0.0012315,           0.0098586,           0.0098586,           0.0098586
                  18,            0.022686,           0.0076356,           0.0013119,             0.82232,             0.75075,             0.86239,             0.48919,            0.021515,           0.0055792,          0.00065787,           0.0098405,           0.0098405,           0.0098405
                  19,            0.022543,           0.0073822,           0.0013544,             0.79537,             0.75579,             0.86313,             0.48719,            0.019871,           0.0053337,           0.0010798,           0.0098213,           0.0098213,           0.0098213
                  20,            0.021827,           0.0070919,           0.0012463,             0.80301,             0.76496,              0.8671,             0.50426,            0.020823,           0.0054807,          0.00059845,           0.0098011,           0.0098011,           0.0098011
                  21,            0.021765,           0.0071863,           0.0010657,             0.81823,             0.73902,              0.8566,             0.49967,            0.021012,           0.0052808,           0.0010846,           0.0097798,           0.0097798,           0.0097798
                  22,            0.021082,           0.0069066,           0.0011445,             0.79853,             0.76829,             0.88456,             0.54034,            0.018897,           0.0051422,          0.00048883,           0.0097574,           0.0097574,           0.0097574
                  23,            0.020519,           0.0068726,           0.0011307,             0.85904,             0.79851,              0.8919,             0.53717,            0.021777,           0.0051223,          0.00051264,            0.009734,            0.009734,            0.009734
                  24,            0.020945,           0.0068154,            0.001064,             0.82216,             0.81044,             0.90972,             0.57304,            0.018857,           0.0049011,          0.00052403,           0.0097095,           0.0097095,           0.0097095
                  25,            0.020114,           0.0065412,          0.00088283,             0.77792,             0.92045,             0.90932,             0.55505,            0.018018,           0.0049434,          0.00045301,            0.009684,            0.009684,            0.009684
                  26,            0.020298,           0.0066401,           0.0010656,             0.76067,             0.88979,             0.89955,             0.56632,            0.018578,           0.0050216,           0.0010421,           0.0096575,           0.0096575,           0.0096575
                  27,            0.020051,           0.0064706,          0.00095672,             0.72292,             0.92108,             0.88537,             0.59267,             0.01978,           0.0048991,          0.00052493,           0.0096299,           0.0096299,           0.0096299
                  28,            0.020128,           0.0063993,          0.00099697,             0.75446,             0.89517,             0.88199,             0.55195,            0.018523,           0.0048381,           0.0004458,           0.0096013,           0.0096013,           0.0096013
                  29,            0.019749,           0.0063919,          0.00092894,             0.81461,             0.87477,             0.91799,             0.59664,            0.017906,           0.0047893,          0.00044772,           0.0095717,           0.0095717,           0.0095717
                  30,            0.019367,           0.0062297,           0.0008484,              0.8527,             0.91519,              0.9354,              0.6102,             0.01842,           0.0046384,          0.00041231,           0.0095411,           0.0095411,           0.0095411
                  31,             0.01949,           0.0061484,          0.00072226,             0.84078,             0.94502,             0.94028,             0.62556,            0.017827,           0.0045764,          0.00037758,           0.0095095,           0.0095095,           0.0095095
                  32,            0.018923,           0.0060848,           0.0009168,             0.75403,             0.91895,              0.9146,             0.59406,            0.019008,           0.0045499,          0.00045006,           0.0094769,           0.0094769,           0.0094769
                  33,            0.018903,           0.0059198,          0.00079966,             0.82213,             0.96181,             0.94511,             0.61131,            0.018209,           0.0043741,          0.00054013,           0.0094434,           0.0094434,           0.0094434
                  34,            0.018727,           0.0058734,          0.00065269,              0.7937,             0.94197,             0.94884,             0.62556,            0.017562,           0.0042774,          0.00035403,           0.0094088,           0.0094088,           0.0094088
                  35,            0.018217,           0.0057794,          0.00055325,             0.85411,              0.8961,             0.93212,             0.59783,            0.017464,           0.0045013,          0.00072871,           0.0093733,           0.0093733,           0.0093733
                  36,            0.018283,           0.0057875,          0.00083007,             0.76577,             0.94099,             0.91476,             0.59831,            0.018229,            0.004536,           0.0015361,           0.0093369,           0.0093369,           0.0093369
                  37,            0.018624,           0.0058781,          0.00082501,             0.82937,             0.84208,             0.89041,             0.54904,            0.017861,           0.0044331,          0.00048176,           0.0092995,           0.0092995,           0.0092995
                  38,            0.018307,           0.0057105,           0.0007875,             0.87686,             0.90581,             0.94938,             0.65302,            0.016774,            0.004116,          0.00029296,           0.0092611,           0.0092611,           0.0092611
                  39,              0.0181,           0.0056488,          0.00069471,             0.83937,             0.87567,             0.89517,             0.60087,            0.017468,            0.004394,          0.00054508,           0.0092219,           0.0092219,           0.0092219
                  40,            0.017857,           0.0055668,          0.00070671,             0.90111,              0.9191,              0.9655,              0.6469,            0.016641,           0.0042894,          0.00029315,           0.0091817,           0.0091817,           0.0091817
                  41,            0.017989,           0.0055081,          0.00073338,             0.85155,             0.90736,             0.93457,             0.62996,            0.016552,           0.0043112,          0.00030555,           0.0091406,           0.0091406,           0.0091406
                  42,             0.01748,           0.0055477,          0.00095708,             0.83698,             0.94136,             0.94001,             0.62816,            0.016928,           0.0041665,          0.00026351,           0.0090986,           0.0090986,           0.0090986
                  43,            0.017867,           0.0054741,          0.00076969,             0.94113,             0.92544,             0.96705,              0.6745,            0.016422,           0.0041345,          0.00031137,           0.0090557,           0.0090557,           0.0090557
                  44,             0.01751,           0.0053272,          0.00069755,             0.89954,             0.93875,             0.95527,             0.65006,            0.016731,           0.0040468,          0.00045837,           0.0090119,           0.0090119,           0.0090119
                  45,            0.017233,           0.0054109,          0.00069574,             0.92047,             0.89775,             0.95414,             0.68385,             0.01663,           0.0038978,          0.00073172,           0.0089673,           0.0089673,           0.0089673
                  46,            0.017361,            0.005368,          0.00071166,             0.92219,             0.91075,             0.96204,             0.66908,            0.016208,            0.004147,          0.00034856,           0.0089218,           0.0089218,           0.0089218
